Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,38.872355,-84.63238199999999,I-71 N,Walton,Boone,KY,66.0,66.0,70.0,29.27,10.0,0.0,0.0
2,36.253239,-86.71682,Madison Sq,Madison,Davidson,TN,43.0,43.0,38.0,29.9,10.0,3.0,0.0
2,39.048698,-84.53933,Highland Pike,Covington,Kenton,KY,83.0,83.0,44.0,29.49,10.0,12.0,0.0
2,30.629623,-88.11779,E Harbor Dr,Mobile,Mobile,AL,74.0,74.0,93.0,30.01,10.0,3.0,0.0
2,36.149761,-86.859451,Charlotte Pike,Nashville,Davidson,TN,49.0,44.0,86.0,29.38,10.0,12.0,0.0
3,35.001296999999994,-85.210861,I-75 N,Chattanooga,Hamilton,TN,77.0,77.0,79.0,29.26,10.0,6.0,0.0
2,38.185143,-85.813599,Henry Watterson Expy E,Louisville,Jefferson,KY,69.0,69.0,68.0,29.49,10.0,10.0,0.0
2,38.952419,-84.559921,Vicksburg Ln,Independence,Kenton,KY,36.0,32.0,86.0,28.85,6.0,5.0,0.0
2,34.860222,-86.973747,N Jefferson St,Athens,Limestone,AL,35.0,30.0,78.0,29.74,10.0,6.0,0.0
2,36.352009,-82.399406,W Oakland Ave,Johnson City,Washington,TN,39.9,36.7,93.0,30.13,10.0,4.6,0.03
2,31.253469,-85.39296,Ross Clark Cir,Dothan,Houston,AL,66.0,66.0,78.0,29.75,10.0,7.0,0.0
2,36.218201,-86.803513,Moormans Arm Rd,Nashville,Davidson,TN,65.0,65.0,56.0,29.14,10.0,13.0,0.0
2,36.186352,-86.818779,26th Ave N,Nashville,Davidson,TN,86.0,86.0,65.0,29.34,10.0,0.0,0.0
2,36.069981,-86.68562299999999,Bakertown Rd,Antioch,Davidson,TN,90.0,90.0,34.0,29.51,10.0,12.0,0.0
2,35.144726,-84.976341,I-75 S,Mc Donald,Bradley,TN,72.0,72.0,84.0,29.3,10.0,0.0,0.0
2,35.069389,-89.91033900000001,Knight Rd,Memphis,Shelby,TN,84.0,84.0,56.0,29.76,10.0,6.0,0.0
2,30.648474,-88.16114,Cottage Hill Rd,Mobile,Mobile,AL,80.0,80.0,67.0,29.81,10.0,6.0,0.0
2,32.326706,-86.29924,Norman Bridge Rd,Montgomery,Montgomery,AL,92.0,92.0,43.0,29.77,10.0,8.0,0.0
