Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,33.390469,-117.08471000000002, Pala Temecula Rd,Pala,San Diego,CA,50.0,50.0,71.0,28.51,10.0,9.0,0.0
2,33.747063,-118.00717900000001,Goldenwest St,Westminster,Orange,CA,79.0,79.0,44.0,29.94,7.0,0.0,0.0
1,45.52304,-122.67746000000001, SW Broadway,Portland,Multnomah,OR,53.0,53.0,89.0,30.11,8.0,7.0,0.0
2,38.830093,-123.04592, Highway 128,Cloverdale,Sonoma,CA,42.0,42.0,100.0,29.81,0.25,0.0,0.0
2,35.352539,-118.985001,CA-58 W,Bakersfield,Kern,CA,89.0,89.0,30.0,29.32,10.0,3.0,0.0
2,33.876456,-118.100626,Artesia Fwy W,Cerritos,Los Angeles,CA,63.0,63.0,50.0,30.02,10.0,3.0,0.0
2,33.969157,-118.247676, Compton Ave,Los Angeles,Los Angeles,CA,59.0,59.0,21.0,29.91,10.0,5.0,0.0
3,47.699169,-122.685799,WA-3 S,Poulsbo,Kitsap,WA,43.0,36.0,97.0,29.64,10.0,13.0,0.03
2,37.66786,-122.39473000000001,Bayshore Fwy S,South San Francisco,San Mateo,CA,44.0,42.0,85.0,30.04,10.0,5.0,0.0
2,33.725806,-117.803903,I-5 N,Tustin,Orange,CA,79.0,79.0,22.0,30.1,10.0,3.0,0.0
2,45.44453,-122.57893999999999, SE 82nd Ave,Happy Valley,Clackamas,OR,81.0,81.0,42.0,30.09,10.0,6.0,0.0
2,33.859788,-117.25863500000001,Escondido Fwy S,Perris,Riverside,CA,74.0,74.0,11.0,28.55,10.0,0.0,0.0
2,34.581177000000004,-118.13363600000001,Antelope Valley Fwy N,Palmdale,Los Angeles,CA,46.0,46.0,66.0,27.7,10.0,3.0,0.0
2,33.296928,-117.206001,Dunlin Ranch Rd,Bonsall,San Diego,CA,67.0,67.0,37.0,29.76,10.0,9.0,0.0
2,43.0904,-123.56997, Highway 42,Tenmile,Douglas,OR,68.0,68.0,43.0,29.5,10.0,7.0,0.0
2,33.932465,-118.17844,I-710 S,South Gate,Los Angeles,CA,50.0,50.0,86.0,29.87,5.0,0.0,0.0
2,38.521598,-121.455353, 34th Ave,Sacramento,Sacramento,CA,46.0,41.0,51.0,30.06,10.0,9.0,0.0
2,47.541533,-122.283248, Martin Luther King Jr Way S,Seattle,King,WA,62.0,62.0,70.0,30.06,1.0,3.0,0.0
3,34.03833,-118.43946799999999,I-405 S,Los Angeles,Los Angeles,CA,57.0,57.0,74.0,29.83,10.0,6.0,0.0
2,45.410353,-122.486147,SE 172nd Ave,Damascus,Clackamas,OR,43.0,36.0,76.0,30.02,10.0,14.0,0.0
2,45.789968,-123.449898,McGregor Rd,Seaside,Clatsop,OR,35.0,28.0,96.0,30.47,10.0,9.0,0.0
2,36.890671000000005,-119.79257199999999,Highway 41,Madera,Madera,CA,44.0,39.0,76.0,29.64,10.0,10.0,0.0
2,37.742721,-121.561525,I-580 W,Tracy,Alameda,CA,39.0,36.0,89.0,29.85,10.0,5.0,0.0
2,38.141819,-121.39910800000001,I-5 N,Lodi,San Joaquin,CA,58.0,58.0,46.0,29.88,10.0,8.0,0.0
2,45.17582,-122.85518,I-5 N,Woodburn,Marion,OR,55.0,55.0,64.0,30.13,10.0,6.0,0.0
2,34.035848,-117.32253600000001,I-215 N,Grand Terrace,San Bernardino,CA,100.0,100.0,9.0,28.69,3.0,10.0,0.0
2,43.822671,-122.60904099999999, Highway 58,Westfir,Lane,OR,51.0,51.0,86.0,29.62,10.0,3.0,0.0
2,32.770425,-117.138301,I-8 W,San Diego,San Diego,CA,68.0,68.0,40.0,29.78,10.0,7.0,0.0
2,33.66108,-117.7844,I-405 S,Irvine,Orange,CA,60.0,60.0,67.0,29.96,10.0,3.0,0.0
3,33.910831,-118.17527,Glenn Anderson Fwy E,Paramount,Los Angeles,CA,51.0,51.0,86.0,29.93,10.0,6.0,0.04
2,37.88293,-122.18011000000001,CA-24 E,Orinda,Contra Costa,CA,72.0,72.0,44.0,30.0,10.0,6.0,0.0
2,33.90462,-117.459901,CA-91 W,Riverside,Riverside,CA,52.0,52.0,21.0,29.31,10.0,6.0,0.0
2,34.365183,-118.503648,Antelope Valley Fwy S,Newhall,Los Angeles,CA,60.0,60.0,93.0,29.13,9.0,6.0,0.07
2,33.539460999999996,-117.674655,I-5 S,San Juan Capistrano,Orange,CA,68.0,68.0,78.0,29.92,4.0,12.0,0.0
2,33.698776,-117.93575200000001,Condor Ave,Fountain Valley,Orange,CA,56.0,56.0,77.0,30.05,10.0,6.0,0.0
2,43.611034000000004,-122.116202,Highway 58,Oakridge,Lane,OR,43.0,38.0,89.0,29.75,10.0,8.0,0.0
2,32.687319,-117.11411799999999,I-5 S,San Diego,San Diego,CA,70.0,70.0,93.0,29.87,0.25,3.0,0.0
2,33.941026,-118.279677,Harbor Fwy N,Los Angeles,Los Angeles,CA,68.0,68.0,68.0,29.84,6.0,0.0,0.0
2,44.562081,-123.06164799999999,I-5 N,Albany,Linn,OR,40.0,40.0,100.0,29.89,0.25,3.0,0.0
2,40.324981,-123.921617,Redwood Hwy S,Redcrest,Humboldt,CA,50.0,50.0,100.0,29.64,9.0,6.0,0.0
2,38.256026,-122.32788000000001, Sonoma Hwy,Napa,Napa,CA,72.0,72.0,44.0,29.98,10.0,21.0,0.0
2,38.519482,-121.465179,Martin Luther King Jr Blvd,Sacramento,Sacramento,CA,37.0,37.0,89.0,30.1,10.0,0.0,0.0
2,33.61678,-117.60876,CA-241 N,Trabuco Canyon,Orange,CA,51.0,51.0,80.0,30.03,8.0,3.0,0.0
2,36.805411,-119.785426,CA-41 S,Fresno,Fresno,CA,57.0,57.0,59.0,29.67,10.0,9.0,0.0
2,37.753134,-122.40281999999999,James Lick Fwy N,San Francisco,San Francisco,CA,61.0,61.0,62.0,30.07,10.0,3.0,0.0
2,37.997621,-122.038352,CA-242 N,Concord,Contra Costa,CA,37.0,37.0,86.0,30.17,10.0,0.0,0.0
2,37.189314,-120.331696,Plainsburg Rd,Le Grand,Merced,CA,55.0,55.0,24.0,29.83,10.0,23.0,0.0
3,34.026707,-117.55006399999999,I-15 N,Mira Loma,Riverside,CA,58.0,58.0,58.0,29.32,10.0,3.0,0.0
