Severity,Start_Lat,Start_Lng,Street,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,39.827228999999996,-104.92688000000001,E 72nd Ave,Commerce City,Adams,CO,73.0,73.0,48.0,24.39,10.0,0.0,0.0
2,40.38747,-111.91635, W Crossroads Blvd,Saratoga Springs,Utah,UT,59.0,59.0,39.0,25.34,10.0,13.0,0.0
2,47.354221,-114.77879399999999, MT Highway 200,Plains,Sanders,MT,44.0,40.0,49.0,23.66,10.0,7.0,0.0
2,40.878056,-115.71965,I-80 W,Elko,Elko,NV,36.0,27.0,48.0,24.8,10.0,14.0,0.0
2,33.3857,-111.93489,Superstition Fwy W,Tempe,Maricopa,AZ,79.0,79.0,20.0,28.82,10.0,10.0,0.0
2,40.30171,-111.72601,I-15 S,Orem,Utah,UT,62.0,62.0,28.0,25.38,10.0,6.0,0.0
3,39.76331,-105.10967, Kipling St,Wheat Ridge,Jefferson,CO,64.0,64.0,30.0,24.4,30.0,9.0,0.0
3,34.138222,-112.14616399999998,Arizona Veterans Highway,Black Canyon City,Yavapai,AZ,63.0,63.0,45.0,28.23,10.0,0.0,0.0
2,32.206936999999996,-110.910683, E 22nd St,Tucson,Pima,AZ,73.0,73.0,21.0,27.36,10.0,6.0,0.0
1,33.415459999999996,-111.7537,E Main St,Mesa,Maricopa,AZ,80.0,80.0,9.0,28.75,10.0,8.0,0.0
2,33.422108,-111.63620800000001,AZ-202 Loop S,Mesa,Maricopa,AZ,90.0,90.0,13.0,28.75,10.0,6.0,0.0
3,40.231651,-111.683594,W Center St,Provo,Utah,UT,36.0,28.0,44.0,25.85,10.0,12.0,0.0
2,39.64085,-105.13583,US-285 S,Denver,Jefferson,CO,59.0,59.0,42.0,24.24,10.0,8.0,0.0
3,33.428238,-112.068954,I-17 S,Phoenix,Maricopa,AZ,60.0,60.0,57.0,28.73,10.0,6.0,0.0
2,33.386669,-111.957825,Superstition Fwy W,Tempe,Maricopa,AZ,110.0,110.0,11.0,28.49,10.0,13.0,0.0
3,40.414333,-111.87008700000001,I-15 N,Lehi,Utah,UT,87.0,87.0,30.0,25.51,10.0,0.0,0.0
2,33.49361,-112.392448,W Indian School Rd,Goodyear,Maricopa,AZ,88.0,88.0,19.0,28.59,10.0,10.0,0.0
3,38.54448,-106.89759, E Tomichi Ave,Gunnison,Gunnison,CO,30.0,22.0,64.0,22.35,10.0,9.0,0.0
2,39.711342,-105.053261,W Alameda Ave,Denver,Denver,CO,44.0,44.0,60.0,24.25,10.0,3.0,0.0
2,38.89672,-104.8315,W Garden of the Gods Rd,Colorado Springs,El Paso,CO,58.0,58.0,59.0,23.6,10.0,7.0,0.0
2,32.184235,-110.95810700000001,I-10 E,Tucson,Pima,AZ,63.0,63.0,20.0,27.24,10.0,3.0,0.0
2,33.396195,-111.96771000000001,I-10 E,Tempe,Maricopa,AZ,61.0,61.0,24.0,28.95,10.0,5.0,0.0
2,43.632047,-116.354289, N Eagle Rd,Meridian,Ada,ID,41.0,37.0,87.0,27.42,10.0,6.0,0.0
3,40.45028,-104.9919,I-25 N,Loveland,Larimer,CO,65.0,65.0,27.0,24.97,10.0,24.0,0.09
2,33.29195,-111.99706299999998,S 40th St,Phoenix,Maricopa,AZ,101.0,101.0,9.0,28.72,10.0,0.0,0.0
2,33.918818,-112.144392,Black Canyon Fwy N,New River,Maricopa,AZ,62.0,62.0,18.0,28.39,10.0,3.0,0.0
2,33.065220000000004,-112.04779099999999,N John Wayne Pkwy,Maricopa,Pinal,AZ,58.0,58.0,31.0,28.51,10.0,7.0,0.0
2,33.392139,-112.622817, W Southern Ave,Buckeye,Maricopa,AZ,55.0,55.0,23.0,28.85,10.0,0.0,0.0
2,33.538006,-112.041458,Piestewa Fwy N,Phoenix,Maricopa,AZ,88.0,88.0,17.0,28.63,10.0,6.0,0.0
3,33.552971,-112.11248799999998,Black Canyon Fwy S,Phoenix,Maricopa,AZ,88.0,88.0,18.0,28.39,10.0,7.0,0.0
2,33.377569,-112.626632, W Baseline Rd,Buckeye,Maricopa,AZ,52.0,52.0,28.0,28.95,10.0,10.0,0.0
2,38.95021,-110.04655,I-70 W,Thompson,Grand,UT,71.0,71.0,14.0,25.35,10.0,20.0,0.0
1,33.47835,-112.30665, N Avondale Blvd,Avondale,Maricopa,AZ,86.0,86.0,22.0,28.54,10.0,3.0,0.0
2,40.66299,-111.83805, Highland Dr,Salt Lake City,Salt Lake,UT,26.0,21.0,78.0,25.83,10.0,5.0,0.0
2,32.206841,-110.966949,E 22nd St,Tucson,Pima,AZ,66.0,66.0,22.0,27.17,10.0,9.0,0.0
2,33.670102,-112.03759699999999,AZ-101 Loop E,Phoenix,Maricopa,AZ,68.0,68.0,18.0,28.36,10.0,5.0,0.0
4,39.760384,-105.6511,I-70 E,Dumont,Clear Creek,CO,13.0,-3.0,54.0,20.71,9.0,15.0,0.0
1,33.65504,-112.0309, N Cave Creek Rd,Phoenix,Maricopa,AZ,65.0,65.0,48.0,28.34,10.0,3.0,0.0
3,33.444805,-112.55628999999999,I-10 W,Buckeye,Maricopa,AZ,61.0,61.0,36.0,28.93,10.0,5.0,0.0
2,40.72592,-111.99293,UT-201 W,West Valley City,Salt Lake,UT,55.0,55.0,45.0,25.58,10.0,15.0,0.0
2,34.336816999999996,-110.73803600000001,Payson Heber Hwy,Forest Lakes,Navajo,AZ,54.0,54.0,54.0,24.82,10.0,5.0,0.0
1,32.3231,-111.0121, N La Cholla Blvd,Tucson,Pima,AZ,83.0,83.0,21.0,27.21,10.0,10.0,0.0
3,32.206707,-110.979698,I-10 E,Tucson,Pima,AZ,57.0,57.0,43.0,26.97,10.0,8.0,0.0
3,38.87143,-104.71993, N Powers Blvd,Colorado Springs,El Paso,CO,75.0,75.0,20.0,23.92,10.0,0.0,0.0
2,33.45483,-112.060501,E Fillmore St,Phoenix,Maricopa,AZ,78.0,78.0,40.0,28.67,10.0,9.0,0.0
3,39.848122,-104.98530600000001,I-25 N,Denver,Adams,CO,81.0,81.0,15.0,24.51,10.0,3.0,0.0
2,40.276001,-105.102531,S US Highway 287,Berthoud,Larimer,CO,27.0,17.0,93.0,24.82,0.5,9.0,0.0
2,33.445316,-112.03791799999999,Frontage Rd,Phoenix,Maricopa,AZ,64.0,64.0,14.0,28.97,10.0,7.0,0.0
2,39.931938,-104.97802,Washington St,Thornton,Adams,CO,10.0,10.0,83.0,25.12,10.0,3.0,0.0
